Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 21:19:10;31/08/2025 21:19:35;0;D;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:46:38;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 20:19:10;31/08/2025 20:20:26;0;D;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:46:38;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:54:13;31/08/2025 18:54:47;0;D;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:46:38;00:00:00;32242.48;3 %;;12.7;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:49:09;31/08/2025 18:49:10;0;D;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;373.62;13:46:38;00:00:00;32242.48;0 %;;13.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:48:55;31/08/2025 18:48:56;0;LP;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;373.62;13:46:24;00:00:00;32242.48;0 %;;14.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:47:55;31/08/2025 18:47:57;0;LP;-;1;1;-17.0435899,-50.1467166;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;373.62;13:45:24;00:00:00;32242.48;0 %;;14.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:46:55;31/08/2025 18:46:57;0;LP;-;1;1;-17.043595,-50.1467183;Avenida Afonso Pena -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;373.62;13:44:24;00:00:00;32242.48;0 %;;14.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:45:55;31/08/2025 18:45:59;0;LP;-;0;1;0,0;Rua Hilda Augusto -  Lavras da Mangabeira - CE -  63300-000 -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;0, X, X, X;-;373.62;13:43:24;00:00:00;32242.48;0 %;;14.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 18:45:46;31/08/2025 18:46:00;0;LP;-;0;1;0,0;Rua Hilda Augusto -  Lavras da Mangabeira - CE -  63300-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;14.3;0
JANDAIA;TFK-9J63;TFK-9J63;31/08/2025 00:27:05;31/08/2025 00:28:59;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 23:27:05;30/08/2025 23:27:46;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 22:27:05;30/08/2025 22:28:40;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 21:27:05;30/08/2025 21:27:30;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 20:27:05;30/08/2025 20:28:18;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;0 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 19:27:05;30/08/2025 19:29:11;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;5 %;;0.0;0
JANDAIA;TFK-9J63;TFK-9J63;30/08/2025 18:27:05;30/08/2025 18:27:58;0;D;-;1;1;-17.0436516,-50.146735;Avenida Afonso Pena -  2 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;373.62;13:43:15;00:00:00;32242.48;9 %;;0.0;0
