Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 23:44:24;31/08/2025 23:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;86 %;;3.7;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 22:44:24;31/08/2025 22:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;88 %;;3.7;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 21:44:24;31/08/2025 21:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;91 %;;3.8;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 20:44:24;31/08/2025 20:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;93 %;;3.8;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 19:44:24;31/08/2025 19:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;96 %;;3.8;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 19:13:48;31/08/2025 19:13:49;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;100 %;;3.8;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 19:13:33;31/08/2025 19:13:34;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;100 %;;4.6;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 18:44:23;31/08/2025 18:44:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:20;372.26;100 %;;12.1;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 18:43:23;31/08/2025 18:43:25;0;D;-;1;1;-17.047318,-50.142698;Avenida Galdino A. de Sousa -  384 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:51:16;372.26;100 %;;12.5;0
JANDAIA;TFP-8H93;TFP-8H93;31/08/2025 18:42:23;31/08/2025 18:42:25;12;D;-;1;1;-17.047167,-50.142465;Avenida Galdino A. de Sousa -  398 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;363.9;11:40:38;11:50:16;372.16;100 %;;13.1;0
