Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 23:34:10;31/08/2025 23:34:19;0;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:59;707.68;96 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 23:03:02;31/08/2025 23:03:09;0;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:59;707.68;99 %;;3.9;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 23:02:47;31/08/2025 23:02:54;0;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:59;707.68;100 %;;4.7;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:34:16;31/08/2025 22:34:20;0;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:59;707.68;100 %;;12.6;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:33:15;31/08/2025 22:33:17;0;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:59;707.68;100 %;;12.6;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:32:15;31/08/2025 22:32:17;5;D;-;1;1;-16.958842,-50.437209;Avenida Castelo Branco -  2576 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:13:25;707.68;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:31:15;31/08/2025 22:31:17;13;D;-;1;1;-16.959665,-50.435539;Rua Sete -  238 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:12:25;707.48;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:30:15;31/08/2025 22:30:17;18;D;-;1;1;-16.960713,-50.433507;Rua Dez -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:11:25;707.22;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:29:34;31/08/2025 22:29:36;13;D;-;1;1;-16.958194,-50.431987;Avenida Juscelino Kubitschek -  4236 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:10:43;706.9;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:29:21;31/08/2025 22:29:23;16;D;-;1;1;-16.958454,-50.431301;Avenida Juscelino Kubitschek -  4321 -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:10:31;706.82;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;31/08/2025 22:28:22;31/08/2025 22:28:23;42;D;-;1;1;-16.961081,-50.426297;Avenida Juscelino Kubitschek -  Parauna - GO -  75980-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;645.02;22:22:24;64:09:31;706.19;100 %;;13.3;0
