Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 23:48:27;31/08/2025 23:49:02;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;55 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:47:13;31/08/2025 22:47:25;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Violado;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;66 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:24:34;31/08/2025 22:25:19;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;87 %;;13.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:19:12;31/08/2025 22:19:16;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;84 %;;13.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:18:12;31/08/2025 22:18:16;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;83 %;;12.9;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:17:12;31/08/2025 22:17:15;0;D;-;1;1;-17.035575,-50.1443216;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;78.15;04:53:40;00:00:00;31924.36;83 %;;13.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:16:48;31/08/2025 22:16:51;11;LM;-;1;1;-17.03508,-50.14448;Avenida Jasso Ferreira Caetano -  428 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;78.09;04:53:16;00:00:00;31924.3;83 %;;14.4;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:15:47;31/08/2025 22:15:50;0;LP;-;1;1;-17.0353716,-50.1454666;Rua Romilton R. Silva -  482 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.98;04:52:15;00:00:00;31924.18;81 %;;14.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:14:47;31/08/2025 22:14:51;0;LP;-;1;1;-17.0359083,-50.1462133;Rua Romilton R. Silva -  617 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.88;04:51:15;00:00:00;31924.08;81 %;;14.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:13:47;31/08/2025 22:13:51;0;LP;-;1;1;-17.0372466,-50.1461833;Rua Leonel Franca -  504 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.73;04:50:15;00:00:00;31923.9;79 %;;12.6;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:12:47;31/08/2025 22:12:51;0;LP;-;1;1;-17.0375616,-50.14487;Rua Pg Um -  29 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.59;04:49:15;00:00:00;31923.7;79 %;;12.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:11:47;31/08/2025 22:11:49;19;LM;-;1;1;-17.0378,-50.144275;Avenida M. Antonio -  1 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.52;04:48:15;00:00:00;31923.61;78 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:10:47;31/08/2025 22:10:50;56;LM;-;1;1;-17.03762,-50.140905;Avenida Mdb -  177 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;77.16;04:47:15;00:00:00;31922.97;77 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:09:47;31/08/2025 22:09:51;36;LM;-;1;1;-17.0346983,-50.1397383;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;76.81;04:46:15;00:00:00;31922.54;75 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:08:46;31/08/2025 22:08:50;14;LM;-;1;1;-17.03557,-50.1388783;Rua Cinco -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;76.68;04:45:14;00:00:00;31922.36;75 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:07:46;31/08/2025 22:07:50;0;LP;-;1;1;-17.035815,-50.1403033;Rua Cinco -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;76.52;04:44:14;00:00:00;31922.2;74 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:06:47;31/08/2025 22:06:50;16;LM;-;1;1;-17.0380466,-50.13968;Rua Psb -  313 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;76.27;04:43:15;00:00:00;31921.89;73 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:05:47;31/08/2025 22:05:50;0;LP;-;1;1;-17.0409599,-50.1377266;Avenida Dona Gercina Borges -  1500 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;75.88;04:42:15;00:00:00;31921.5;71 %;;13.1;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:04:46;31/08/2025 22:04:49;32;LM;-;1;1;-17.0411983,-50.1379716;Avenida Dona Gercina Borges -  1482 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;75.85;04:41:14;00:00:00;31921.47;70 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:03:46;31/08/2025 22:03:49;62;LM;-;1;1;-17.041735,-50.1409216;GO-162 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;75.53;04:40:14;00:00:00;31920.88;69 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:02:46;31/08/2025 22:02:50;61;LM;-;1;1;-17.0384516,-50.1499416;GO-320 -  2277 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;74.5;04:39:14;00:00:00;31919.72;68 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:01:45;31/08/2025 22:01:48;16;LM;-;1;1;-17.0386533,-50.1527733;Avenida A -  616 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;74.2;04:38:13;00:00:00;31919.37;66 %;;14.1;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 22:00:46;31/08/2025 22:00:49;33;LM;-;1;1;-17.0407349,-50.1516733;Avenida A -  394 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;73.94;04:37:14;00:00:00;31919.1;64 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:58:46;31/08/2025 21:58:49;16;LM;-;1;1;-17.0450116,-50.1477333;Rua Beraldo Caetano Gomes -  482 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;73.31;04:35:14;00:00:00;31918.35;60 %;;13.6;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:57:45;31/08/2025 21:57:49;9;LM;-;1;1;-17.04622,-50.1454949;Avenida Dona Gercina Borges -  222 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;73.03;04:34:13;00:00:00;31917.96;58 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:56:45;31/08/2025 21:56:48;14;LM;-;1;1;-17.04836,-50.145255;Rua Manoel M. Borges -  119 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.79;04:33:13;00:00:00;31917.67;56 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:55:45;31/08/2025 21:55:47;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;72.7;04:32:13;00:00:00;31917.54;54 %;;12.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:55:39;31/08/2025 21:55:42;0;D;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;72.7;04:32:13;00:00:00;31917.54;54 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:55:09;31/08/2025 21:55:12;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:31:43;00:00:00;31917.54;52 %;;12.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:54:09;31/08/2025 21:54:12;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:30:43;00:00:00;31917.54;50 %;;12.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:53:09;31/08/2025 21:53:13;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:29:43;00:00:00;31917.54;47 %;;12.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:52:09;31/08/2025 21:52:13;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:28:43;00:00:00;31917.54;44 %;;12.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:51:08;31/08/2025 21:51:12;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:27:42;00:00:00;31917.54;41 %;;12.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:50:09;31/08/2025 21:50:11;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:26:43;00:00:00;31917.54;38 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:49:09;31/08/2025 21:49:12;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:25:43;00:00:00;31917.54;35 %;;12.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:48:08;31/08/2025 21:48:11;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:24:42;00:00:00;31917.54;32 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:47:08;31/08/2025 21:47:11;0;LP;-;1;1;-17.0484416,-50.1460849;Rua Beraldo Caetano Gomes -  145 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.7;04:23:42;00:00:00;31917.54;28 %;;12.4;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:46:08;31/08/2025 21:46:12;0;LP;-;1;1;-17.0483366,-50.1460433;Rua Beraldo Caetano Gomes -  171 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.69;04:22:42;00:00:00;31917.54;25 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:45:08;31/08/2025 21:45:16;2;LM;-;1;1;-17.048295,-50.1456333;Avenida Galdino A. de Sousa -  38 -  Jandaia - GO -  75950-000 -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;72.65;04:21:42;00:00:00;31917.51;14 %;;12.3;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:45:07;31/08/2025 21:45:16;0;D;-;0;1;-17.0484866,-50.1457033;Avenida Galdino A. de Sousa -  54 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;0, X, X, X;-;72.65;04:21:42;00:00:00;31917.51;0 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 21:45:05;31/08/2025 21:45:16;0;D;-;0;1;-17.0484866,-50.1457033;Avenida Galdino A. de Sousa -  54 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;72.65;04:21:42;00:00:00;31917.51;0 %;;0.0;0
